osoba_id;przelozony_id;stanowisko_id;pesel;adres;data_zatrudnienia;status_zatrudnienia
1;2;4;12345678901;ul. Kwiatowa 1, Warszawa, 00-001;2010-03-15;1
2;1;3;98765432109;ul. Lipowa 1, Kraków, 30-001;2012-06-25;2
3;1;5;23456789012;ul. Brzozowa 1, Wrocław, 50-001;2015-07-14;3
4;3;2;34567890123;ul. Kwiatowa 1, Gdańsk, 80-001;2011-09-20;1
5;4;6;45678901234;ul. Lipowa 1, Poznań, 60-001;2018-11-03;4
6;5;1;56789012345;ul. Brzozowa 1, Warszawa, 00-002;2019-05-19;5
7;6;3;67890123456;ul. Kwiatowa 1, Kraków, 30-002;2008-12-28;2
8;7;5;78901234567;ul. Lipowa 1, Wrocław, 50-002;2013-10-07;1
9;8;4;89012345678;ul. Brzozowa 1, Gdańsk, 80-002;2017-04-25;3
10;9;2;90123456789;ul. Kwiatowa 1, Poznań, 60-002;2014-02-15;2
11;10;6;01234567890;ul. Lipowa 1, Warszawa, 00-003;2020-08-14;1
12;11;1;13579024680;ul. Brzozowa 1, Kraków, 30-003;2016-07-11;4
13;12;4;24680246802;ul. Kwiatowa 1, Wrocław, 50-003;2009-09-23;5
14;13;3;35791357913;ul. Lipowa 1, Gdańsk, 80-003;2018-03-19;1
15;14;5;46802468024;ul. Brzozowa 1, Poznań, 60-003;2011-01-12;3
